新北市板橋區文化路一段,"160,000",48.5坪,1F/4F,店面（店鋪）,NULL,無最短租期
新北市三重區中央北路,"30,000",5坪,1F/5F,公寓,NULL,無最短租期
新北市新莊區幸福路71號,"85,000",47坪,1F/4F,店面（店鋪）,NULL,無最短租期
新北市永和區得和路,"250,000",69.52坪,1F/2F,店面（店鋪）,NULL,無最短租期
新北市永和區得和路247號,"4,000",1坪,1F/7F,店面（店鋪）,NULL,無最短租期
新北市板橋區三民路二段,"110,000",25坪,1F/4F,店面（店鋪）,NULL,無最短租期
新北市樹林區保安街二段70號,"5,000",2.2坪,1F/1F,店面（店鋪）,NULL,無最短租期
新北市林口區文化二路一段390號,"85,000",48.43坪,2F/20F,電梯大樓,NULL,無最短租期
新北市永和區中山路一段,"10,000",25坪,1F/4F,店面（店鋪）,NULL,無最短租期
新北市林口區文化三路二段292號,"160,000",160坪,1F/36F,電梯大樓,NULL,無最短租期
新北市淡水區自立路10號,"160,000",212.23坪,1F/7F,店面（店鋪）,NULL,平面式停車位，費用另計最短租期
新北市鶯歌區鳳吉一街,"35,000",34坪,1F/15F,店面（店鋪）,NULL,無最短租期
新北市新莊區思源路177巷28號,"10,000",3坪,1F/4F,店面（店鋪）,NULL,無最短租期
新北市淡水區學府路21號,"100,000",70坪,1F/5F,店面（店鋪）,NULL,無最短租期
新北市樹林區佳園路二段,"45,000",100坪,整棟/2F,透天厝,NULL,無最短租期
新北市樹林區中正路236號,"36,000",33坪,1F/1F,店面（店鋪）,NULL,無最短租期
新北市三重區長壽西街,"18,000",20坪,1F/5F,公寓,NULL,平面式停車位，已含租金內最短租期
新北市林口區四維路186號,"32,000",30坪,1F/4F,店面（店鋪）,NULL,無最短租期
新北市三重區忠孝路三段84巷,"23,500",20.27坪,1F/4F,公寓,NULL,無最短租期
新北市樹林區鎮前街457號,"35,000",40坪,1F/14F,店面（店鋪）,NULL,無最短租期
新北市板橋區新興路60號,"35,000",24坪,1F/2F,店面（店鋪）,NULL,無最短租期
新北市汐止區大同路三段323號,"25,000",40坪,1F/2F,店面（店鋪）,NULL,無最短租期
新北市泰山區新北大道六段168號,"4,000",5坪,1F/1F,店面（店鋪）,NULL,平面式停車位，已含租金內最短租期
新北市新店區安民街374號,"25,000",30坪,1F/13F,店面（店鋪）,NULL,無最短租期
新北市中和區圓通路1號,"35,000",27坪,整棟/2F,透天厝,NULL,無最短租期
新北市土城區中央路四段,"30,000",33坪,1F/4F,公寓,NULL,平面式停車位，已含租金內最短租期
新北市中和區景平路306號,"65,000",62.64坪,1F/13F,店面（店鋪）,NULL,平面式停車位，費用另計最短租期
新北市板橋區校前街40巷13號,"22,000",20坪,1F/1F,透天厝,NULL,無最短租期
新北市淡水區淡金路一段505號,"23,000",30坪,1F/15F,店面（店鋪）,NULL,平面式停車位，已含租金內最短租期
新北市淡水區清水街5號,"65,000",22坪,1F/5F,店面（店鋪）,NULL,無最短租期
新北市林口區中山路23號,"50,000",40坪,1F/1F,店面（店鋪）,NULL,無最短租期
新北市土城區學府路169號,"180,000",73.79坪,1F/14F,電梯大樓,NULL,平面式停車位，費用另計最短租期
新北市三重區三和路二段206號,"430,000",250坪,1F/13F,店面（店鋪）,NULL,無最短租期
新北市汐止區康寧街,"42,000",49.21坪,1F/15F,店面（店鋪）,NULL,無最短租期
新北市汐止區南興路89號,"35,000",24坪,1F/13F,電梯大樓,NULL,無最短租期
新北市永和區中興段,"35,000",6坪,1F/5F,店面（店鋪）,NULL,無最短租期
新北市八里區中山路一段,"32,000",34坪,1F/3F,店面（店鋪）,NULL,無最短租期
新北市中和區復興路,"18,000",6坪,1F/5F,店面（店鋪）,NULL,無最短租期
新北市中和區興南路一段88號,"150,000",20.54坪,1F/5F,店面（店鋪）,NULL,無最短租期
新北市中和區景新街383巷35號,"40,000",20坪,1F/1F,店面（店鋪）,NULL,無最短租期
新北市新莊區公園一路,"26,000",25坪,1F/5F,店面（店鋪）,NULL,無最短租期
新北市新莊區新莊路590號,"28,000",22坪,1F/5F,店面（店鋪）,NULL,無最短租期
新北市新莊區中和街155巷20號,"55,000",45坪,2F/17F,電梯大樓,NULL,平面式停車位，費用另計最短租期
新北市板橋區中山路二段,"150,000",30坪,1F/3F,透天厝,NULL,無最短租期
新北市蘆洲區長榮路430號,"208,000",122坪,1F/1F,店面（店鋪）,NULL,無最短租期
新北市新莊區思源路,"50,000",43.56坪,1F/4F,公寓,NULL,無最短租期
新北市蘆洲區得勝街163號,"140,000",45坪,1F/1F,店面（店鋪）,NULL,無最短租期
